"Nome do projeto","Website G4"
"Intervalo de datas","04/20/2026 00:00 - 04/20/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Exibições de página","488"
"Total de cliques","910"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"11","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-loop-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-prev:nth-of-type(2)>svg:nth-of-type(1)>rect:nth-of-type(1)","11","1,21%"
"12","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(4)>DIV.elementor-element.e-grid.e-con-full.elementor-hidden-mobile.e-con.e-child:nth-of-type(5)>DIV.elementor-element.elementor-widget.elementor-widget-image:nth-of-type(1)>IMG.attachment-full.size-full:nth-of-type(1)","11","1,21%"
"13","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-pointer-events:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(4)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)","10","1,10%"
"14","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-content:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-icon-list--layout-traditional.elementor-list-item-link-full_width.elementor-widget.elementor-widget-icon-list:nth-of-type(3)>UL.elementor-icon-list-items:nth-of-type(1)>LI.elementor-icon-list-item:nth-of-type(1)>A:nth-of-type(1)>SPAN.elementor-icon-list-text:nth-of-type(2)","9","0,99%"
"15","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(2)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)","9","0,99%"
"16","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-title:nth-of-type(1)>DIV.e-n-menu-title-container:nth-of-type(1)>SPAN.e-n-menu-title-text:nth-of-type(1)","8","0,88%"
"17","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-content:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-icon-list--layout-traditional.elementor-list-item-link-full_width.elementor-widget.elementor-widget-icon-list:nth-of-type(3)>UL.elementor-icon-list-items:nth-of-type(1)>LI.elementor-icon-list-item:nth-of-type(4)>A:nth-of-type(1)>SPAN.elementor-icon-list-text:nth-of-type(2)","7","0,77%"
"18","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-loop-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-next:nth-of-type(3)>svg:nth-of-type(1)","7","0,77%"
"19","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(4)>DIV.elementor-element.elementor-widget.elementor-widget-shortcode:nth-of-type(3)>DIV.elementor-shortcode:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(2)>BUTTON:nth-of-type(1)>IMG:nth-of-type(1)","7","0,77%"
"20","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-pointer-events:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(2)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)","6","0,66%"
"21","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-pointer-events:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(5)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(4)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)>EM:nth-of-type(1)>SPAN:nth-of-type(1)","6","0,66%"
"22","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-prev:nth-of-type(2)>svg:nth-of-type(1)>path:nth-of-type(1)","6","0,66%"
"23","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(9)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(1)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)","6","0,66%"
"24","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)","6","0,66%"
"25","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(1)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)","6","0,66%"
"26","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.swiper-pagination.swiper-pagination-clickable.swiper-pagination-bullets.swiper-pagination-horizontal:nth-of-type(4)>SPAN.swiper-pagination-bullet:nth-of-type(4)","5","0,55%"
"27","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(1)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","5","0,55%"
"28","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-content:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-widget.elementor-widget-text-editor:nth-of-type(2)>P:nth-of-type(1)","5","0,55%"
"29","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-title:nth-of-type(1)>BUTTON.e-n-menu-dropdown-icon:nth-of-type(1)>SPAN.e-n-menu-dropdown-icon-closed:nth-of-type(2)>svg.e-font-icon-svg.e-fas-caret-down:nth-of-type(1)","5","0,55%"
"30","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-content:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-icon-list--layout-traditional.elementor-list-item-link-full_width.elementor-widget.elementor-widget-icon-list:nth-of-type(3)>UL.elementor-icon-list-items:nth-of-type(1)>LI.elementor-icon-list-item:nth-of-type(1)>A:nth-of-type(1)>SPAN.elementor-icon-list-text:nth-of-type(2)","5","0,55%"
"31","#alta>DIV.elementor-widget-container:nth-of-type(1)>DIV.elementor-loop-container.elementor-grid:nth-of-type(1)>DIV.elementor.e-loop-item.post.type-post.status-publish.format-standard.has-post-thumbnail.hentry.category-customer-experience:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(1)>P.elementor-heading-title.elementor-size-default:nth-of-type(1)","5","0,55%"
"32","#carrossel-seta>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-pointer-events.swiper-backface-hidden:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-child:nth-of-type(1)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-widget.elementor-widget-text-editor:nth-of-type(1)>P:nth-of-type(1)","4","0,44%"
"33","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-content:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-icon-list--layout-traditional.elementor-list-item-link-full_width.elementor-widget.elementor-widget-icon-list:nth-of-type(3)>UL.elementor-icon-list-items:nth-of-type(1)>LI.elementor-icon-list-item:nth-of-type(3)>A:nth-of-type(1)>SPAN.elementor-icon-list-text:nth-of-type(2)","4","0,44%"
"34","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(3)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","4","0,44%"
"35","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(1)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)","4","0,44%"
"36","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.swiper-pagination.swiper-pagination-clickable.swiper-pagination-bullets.swiper-pagination-horizontal:nth-of-type(4)>SPAN.swiper-pagination-bullet:nth-of-type(3)","4","0,44%"
"37","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-text-editor:nth-of-type(2)>P:nth-of-type(1)","4","0,44%"
"38","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(2)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","4","0,44%"
"39","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.elementor-hidden-tablet.elementor-hidden-mobile.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.e-full_width.e-n-menu-layout-horizontal.e-n-menu-tablet.elementor-widget.elementor-widget-n-menu:nth-of-type(1)>NAV.e-n-menu:nth-of-type(1)>DIV.e-n-menu-wrapper:nth-of-type(1)>UL.e-n-menu-heading:nth-of-type(1)>LI.e-n-menu-item:nth-of-type(1)>DIV.e-n-menu-content:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-icon-list--layout-traditional.elementor-list-item-link-full_width.elementor-widget.elementor-widget-icon-list:nth-of-type(3)>UL.elementor-icon-list-items:nth-of-type(1)>LI.elementor-icon-list-item:nth-of-type(3)>A:nth-of-type(1)>SPAN.elementor-icon-list-text:nth-of-type(2)","4","0,44%"
"40","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.swiper-pagination.swiper-pagination-clickable.swiper-pagination-bullets.swiper-pagination-horizontal:nth-of-type(4)>SPAN.swiper-pagination-bullet:nth-of-type(5)","4","0,44%"
"41","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(7)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","4","0,44%"
