"Nome do projeto","Website G4"
"Intervalo de datas","04/15/2026 00:00 - 04/15/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Total de sessões","200"

"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Data","Horário","Duração da sessão","URL de entrada","URL de saída","Referenciador:","ID de usuário de clareza","Navegador","Dispositivo","OS","País/Região","Contagem de páginas","Cliques na sessão","Favorito","Link de gravação"
"04/15/2026","23:55","05:26","https://g4business.com/formacao-g4-lp?campaign_id=120241227961850714&adset_id=120241227961870714&content_id=120241230455540714&placement=Instagram_Reels&utm_source=facebook&utm_medium=cpc&utm_campaign=adsfb_g4_bau161_sc_fg4_bofu_on-selfcheckout-fg4_venda_captacao_lp&utm_content=bau161_fg4_mix_last-dance_tang-7d&utm_term=AD_02973_fg4_video_50s_chamada_faceless_beneficios_esses-sao-os-12-cursos-que-voce-vai-acessar-copy-mulher&hsa_acc=324663872349737&hsa_cam=120241227961850714&hsa_grp=120241227961870714&hsa_ad=120241230455540714&hsa_src=ig&hsa_net=facebook&hsa_ver=3&utm_id=120241227961870714_v2_s05_e7605&fbclid=PAYW9leARNLvdleHRuA2FlbQEwAGFkaWQBqy77n1X42nNydGMGYXBwX2lkDzU2NzA2NzM0MzM1MjQyNwABp_9TuT32JZHh2E38VYkXDnzvQfhdWdhMsZJtj1IGyB9AXy4Ey9mss9Xhhsf6_aem_hahrhjKQkYTZI91SKd4CEw","https://g4business.com/g4-learning","","4lpd8r","ChromeMobile","Mobile","Android","Brazil","8","15","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/4lpd8r/1qyjm9n/?ss=1776308144000&sd=326"
"04/15/2026","23:54","02:37","https://g4business.com/g4-customer-experience-lp?utm_source=google&utm_medium=cpc&utm_campaign=adsgg_g4_bau084_lgen_g4-customer-experience_bofu_form-g4-google_leads_no-branding_form-lp-dinamico&utm_content=bau084_g4-customer-experience_kw-mix_curso-de-customer-experience&utm_term=curso%20customer%20success&utm_placement=search&gad_source=1&gad_campaignid=22946827652&gbraid=0AAAAAobGRox6I1qa6qB5-OcOZJQdwgkNb&gclid=CjwKCAjw7vzOBhBxEiwAc7WNr0ivfWEoA0fECDwK9D7N89s5WWrus7jWYS8u_ez64zsCYjB7tJU_pRoCR9gQAvD_BwE","https://g4business.com/","https://www.google.com/","tfrpni","MobileSafari","Mobile","iOS","Brazil","7","10","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/tfrpni/1tg1467/?ss=1776308073000&sd=157"
"04/15/2026","23:52","02:09","https://g4business.com/","https://g4business.com/materiais-gratuitos","","w0sdfl","Safari","PC","MacOS","Brazil","2","2","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/w0sdfl/lrc0we/?ss=1776307920000&sd=129"
"04/15/2026","23:51","01:43","https://g4business.com/","https://g4business.com/","https://instagram.com/","vw3ir6","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/vw3ir6/y4ecw3/?ss=1776307892000&sd=103"
"04/15/2026","23:50","07:25","https://g4business.com/fundamentos-g4-financas","https://g4business.com/g4-tools","https://g4business.com/g4-learning?utm_source=google&utm_campaign=adsgg_g4_bau074_lgen_g4-institucional_bofu_form-g4-google_leads_branding_site-g4&utm_content=bau074_g4-institucional_kw-mix_g4-educacao&utm_medium=cpc&utm_term=g4educacao","c0nipk","Chrome","PC","Windows","Brazil","3","45","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/c0nipk/kb5qsp/?ss=1776307848000&sd=445"
"04/15/2026","23:44","00:11","https://g4business.com/","https://g4business.com/","","17np14m","Safari","PC","MacOS","Peru","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/17np14m/1pxpys0/?ss=1776307493000&sd=11"
"04/15/2026","23:41","01:13","https://g4business.com/","https://g4business.com/","https://instagram.com/","1ndb7bv","InstagramApp","Mobile","iOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1ndb7bv/1pwh1b8/?ss=1776307291000&sd=73"
"04/15/2026","23:38","05:04","https://g4business.com/","https://g4business.com/","","2zrsoq","Chrome","PC","Windows","Brazil","1","1","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/2zrsoq/2si7dp/?ss=1776307099000&sd=304"
"04/15/2026","23:36","01:11","https://g4business.com/","https://g4business.com/","https://instagram.com/","1gvepk1","InstagramApp","Mobile","Android","Brazil","1","9","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1gvepk1/1hlkq1c/?ss=1776307004000&sd=71"
"04/15/2026","23:34","01:02","https://g4business.com/","https://g4business.com/","http://instagram.com/","m4o1gm","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/m4o1gm/1s3kz1q/?ss=1776306880000&sd=62"
"04/15/2026","23:34","00:47","https://g4business.com/","https://g4business.com/","http://instagram.com/","4gn87m","InstagramApp","Mobile","iOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/4gn87m/1ngq5ra/?ss=1776306861000&sd=47"
"04/15/2026","23:33","00:10","https://g4business.com/","https://g4business.com/","http://instagram.com/","13gzw5w","InstagramApp","Mobile","iOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/13gzw5w/hf7cx0/?ss=1776306816000&sd=10"
"04/15/2026","23:30","00:34","https://g4business.com/","https://g4business.com/","https://www.google.com/","1nfxtrq","MobileSafari","Mobile","iOS","Brazil","1","2","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1nfxtrq/1tv2p7q/?ss=1776306646000&sd=34"
"04/15/2026","23:28","00:33","https://g4business.com/","https://g4business.com/","https://instagram.com/","19g12q9","InstagramApp","Mobile","iOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/19g12q9/7wdeo7/?ss=1776306511000&sd=33"
