"Nome do projeto","Website G4"
"Intervalo de datas","04/17/2026 00:00 - 04/17/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Exibições de página","316"
"Total de cliques","394"

"Métrica","Toque"

"Classificar","Botão","Toques"," % de toques"
"11","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(1)>IMG:nth-of-type(1)","6","1,52%"
"12","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(3)>IMG:nth-of-type(1)","6","1,52%"
"13","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(8)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(4)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)>SPAN.elementor-button-text:nth-of-type(1)","6","1,52%"
"14","#prg>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(2)","5","1,27%"
"15","#carrossel-seta>DIV.elementor-swiper-button.elementor-swiper-button-next:nth-of-type(3)>svg:nth-of-type(1)>rect:nth-of-type(1)","5","1,27%"
"16","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent.elementor-sticky.elementor-section--handles-inside.elementor-sticky--effects:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(1)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)>SPAN.elementor-button-text:nth-of-type(1)","5","1,27%"
"17","#prg>DIV:nth-of-type(2)>A:nth-of-type(3)>DIV:nth-of-type(1)>DIV:nth-of-type(1)","5","1,27%"
"18","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(1)","5","1,27%"
"19","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(3)>SPAN:nth-of-type(1)","5","1,27%"
"20","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(2)>DIV.elementor-element.elementor-mobile-align-justify.elementor-widget.elementor-widget-button:nth-of-type(1)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)>SPAN.elementor-button-text:nth-of-type(1)","4","1,02%"
"21","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-loop-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-next:nth-of-type(3)>svg:nth-of-type(1)>path:nth-of-type(1)","4","1,02%"
"22","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide.swiper-slide-next:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)","4","1,02%"
"23","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide.swiper-slide-next:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(5)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)","3","0,76%"
"24","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(10)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","3","0,76%"
"25","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(9)>DIV.elementor-element.elementor-widget.elementor-widget-taxonomy-filter:nth-of-type(3)>SEARCH.e-filter:nth-of-type(1)>BUTTON.e-filter-item:nth-of-type(7)","3","0,76%"
"26","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(9)>DIV.elementor-element.elementor-widget.elementor-widget-taxonomy-filter:nth-of-type(3)>SEARCH.e-filter:nth-of-type(1)>BUTTON.e-filter-item:nth-of-type(9)","3","0,76%"
"27","#prg>DIV:nth-of-type(2)>A:nth-of-type(3)>DIV:nth-of-type(1)>DIV:nth-of-type(2)","3","0,76%"
"28","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(9)>DIV.elementor-element.elementor-widget.elementor-widget-taxonomy-filter:nth-of-type(3)>SEARCH.e-filter:nth-of-type(1)>BUTTON.e-filter-item:nth-of-type(6)","3","0,76%"
"29","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(2)>IMG:nth-of-type(1)","3","0,76%"
"30","#prg>DIV:nth-of-type(2)>A:nth-of-type(3)>DIV:nth-of-type(1)","3","0,76%"
"31","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-next:nth-of-type(3)>svg:nth-of-type(1)>path:nth-of-type(1)","3","0,76%"
"32","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(3)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-loop-carousel.e-widget-swiper:nth-of-type(1)>DIV.swiper.elementor-loop-container.elementor-grid.swiper-initialized.swiper-horizontal.swiper-ios.swiper-backface-hidden:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.elementor.swiper-slide.e-loop-item.mentor.type-mentor.status-publish.hentry.categoria-academia-de-vendedores.categoria-home.categoria-sales.categoria-traction:nth-of-type(2)>A.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(1)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)","2","0,51%"
"33","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(1)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","2","0,51%"
"34","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(6)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)","2","0,51%"
"35","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(4)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)>SPAN.e-n-accordion-item-title-header:nth-of-type(1)>DIV.e-n-accordion-item-title-text:nth-of-type(1)","2","0,51%"
"36","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-n-accordion:nth-of-type(2)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(3)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)>A:nth-of-type(1)","2","0,51%"
"37","#prg>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)","2","0,51%"
"38","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>DIV:nth-of-type(1)","2","0,51%"
"39","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(8)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(4)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)","2","0,51%"
"40","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(4)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-html:nth-of-type(3)>A.whatsapp-float:nth-of-type(1)","2","0,51%"
"41","#prg>DIV:nth-of-type(2)>A:nth-of-type(1)","2","0,51%"
"42","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(3)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)>SPAN.e-n-accordion-item-title-header:nth-of-type(1)>DIV.e-n-accordion-item-title-text:nth-of-type(1)","2","0,51%"
"43","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-next:nth-of-type(3)>svg:nth-of-type(1)","2","0,51%"
"44","#exp>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(1)","2","0,51%"
"45","#prg>DIV:nth-of-type(2)>A:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(2)","2","0,51%"
"46","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(4)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)","2","0,51%"
"47","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(1)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)>SPAN.e-n-accordion-item-title-icon:nth-of-type(2)>SPAN.e-closed:nth-of-type(2)>svg.e-font-icon-svg.e-fas-angle-right:nth-of-type(1)","2","0,51%"
"48","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(4)>IMG:nth-of-type(1)","2","0,51%"
"49","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(6)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)>SPAN.elementor-button-content-wrapper:nth-of-type(1)>SPAN.elementor-button-text:nth-of-type(1)","2","0,51%"
"50","#carrossel-seta>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios.swiper-backface-hidden:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-child:nth-of-type(1)","2","0,51%"
"51","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios:nth-of-type(1)","1","0,25%"
"52","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-flex.e-con-boxed.e-con.e-parent:nth-of-type(2)>DIV.e-con-inner:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-html:nth-of-type(1)>NAV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(3)","1","0,25%"
"53","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.elementor-swiper-button.elementor-swiper-button-prev:nth-of-type(2)>svg:nth-of-type(1)","1","0,25%"
"54","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-pagination-type-bullets.elementor-arrows-position-inside.elementor-pagination-position-outside.elementor-widget.elementor-widget-n-carousel.e-widget-swiper:nth-of-type(1)>DIV.e-n-carousel.swiper.swiper-initialized.swiper-horizontal.swiper-ios:nth-of-type(1)>DIV.swiper-wrapper:nth-of-type(1)>DIV.swiper-slide:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-align-justify.elementor-widget__width-initial.elementor-widget.elementor-widget-button:nth-of-type(6)>A.elementor-button.elementor-button-link.elementor-size-sm:nth-of-type(1)","1","0,25%"
"55","#prg>DIV:nth-of-type(2)","1","0,25%"
"56","#prg>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(1)","1","0,25%"
"57","HTML>BODY:nth-of-type(1)>HEADER.elementor.elementor-location-header:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-image:nth-of-type(1)>A:nth-of-type(1)","1","0,25%"
"58","HTML>BODY:nth-of-type(1)>FOOTER.elementor.elementor-location-footer:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(1)>DIV.elementor-element.elementor-hidden-desktop.elementor-hidden-tablet.elementor-widget.elementor-widget-n-accordion:nth-of-type(2)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(1)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(1)>DIV.elementor-element.elementor-widget.elementor-widget-heading:nth-of-type(4)>H2.elementor-heading-title.elementor-size-default:nth-of-type(1)","1","0,25%"
"59","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(10)>DIV.elementor-element.e-con-full.e-flex.e-con.e-child:nth-of-type(3)>DIV.elementor-element.elementor-widget.elementor-widget-n-accordion:nth-of-type(1)>DIV.e-n-accordion:nth-of-type(1)>DETAILS.e-n-accordion-item:nth-of-type(11)>SUMMARY.e-n-accordion-item-title:nth-of-type(1)>SPAN.e-n-accordion-item-title-icon:nth-of-type(2)>SPAN.e-closed:nth-of-type(2)>svg.e-font-icon-svg.e-fas-angle-right:nth-of-type(1)","1","0,25%"
"60","HTML>BODY:nth-of-type(1)>DIV.elementor:nth-of-type(2)>DIV.elementor-element.e-con-full.e-flex.e-con.e-parent:nth-of-type(5)","1","0,25%"
